artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;9.101,60;220,00;8.881,60
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;20/02/2026;2.195,80;1.670,00;525,80
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;40.738,60;3.270,00;37.468,60
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;2.381,40;220,00;2.161,40
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;20/02/2026;4.715,40;0,00;4.715,40
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;1.252,60;500,00;752,60
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;20/02/2026;16.455,30;120,00;16.335,30
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;20/02/2026;3.006,20;1.220,00;1.786,20
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;20/02/2026;12.320,20;12.300,00;20,20
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;8.170,20;120,00;8.050,20
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;0,00;0,00;0,00
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;20/02/2026;8.924,00;420,00;8.504,00
23;2026-01-21 13:04:53;000023 / VELUDO BOUCLE NICE / 001;Pronta entrega;9.976,30;231,50;9.744,80
