artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
28;2026-01-21 13:42:24;000028BELGA - COR: - ICE;Pronta entrega;11.622,50;620,00;11.002,50
28;2026-01-21 13:42:24;000028BELGA - COR: - ICE;23/03/2026;3.800,00;0,00;3.800,00
28;2026-01-21 13:42:24;000028BELGA - COR: 0002828- TABACO;Pronta entrega;1.119,30;220,00;899,30
28;2026-01-21 13:42:24;000028BELGA - COR: 0002828- TABACO;23/03/2026;2.000,00;0,00;2.000,00
28;2026-01-21 13:42:24;000028BELGA - COR: - GRAFITE;Pronta entrega;63.840,20;870,00;62.970,20
28;2026-01-21 13:42:24;000028BELGA - COR: - GRAFITE;23/03/2026;25.000,00;0,00;25.000,00
28;2026-01-21 13:42:24;000028BELGA - COR: - MARINHO;Pronta entrega;10.449,10;120,00;10.329,10
28;2026-01-21 13:42:24;000028BELGA - COR: - CASTOR;Pronta entrega;7.518,10;120,00;7.398,10
28;2026-01-21 13:42:24;000028BELGA - COR: - CASTOR;23/03/2026;2.300,00;0,00;2.300,00
28;2026-01-21 13:42:24;000028BELGA - COR: - NATURAL;Pronta entrega;63.164,60;528,90;62.635,70
28;2026-01-21 13:42:24;000028BELGA - COR: - NATURAL;23/03/2026;30.000,00;0,00;30.000,00
28;2026-01-21 13:42:24;000028BELGA - COR: - CHUMBO;Pronta entrega;6.337,50;920,00;5.417,50
28;2026-01-21 13:42:24;000028BELGA - COR: - CHUMBO;23/03/2026;6.000,00;0,00;6.000,00
28;2026-01-21 13:42:24;000028BELGA - COR: - BEGE;Pronta entrega;13.325,30;570,00;12.755,30
28;2026-01-21 13:42:24;000028BELGA - COR: - CRU;Pronta entrega;8.481,70;320,00;8.161,70
28;2026-01-21 13:42:24;000028BELGA - COR: - CRU;23/03/2026;1.900,00;0,00;1.900,00
