artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - BLACK;Pronta entrega;24.100,00;0,00;24.100,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - BLACK;12/02/2026;49.400,00;0,00;49.400,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - RED;Pronta entrega;2.999,00;0,00;2.999,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - CHOCOLATE;Pronta entrega;39.843,00;0,00;39.843,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - CHOCOLATE;12/02/2026;17.800,00;0,00;17.800,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - DARK GREY;Pronta entrega;7.812,00;800,00;7.012,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - DARK GREY;12/02/2026;27.696,00;0,00;27.696,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - ICE;Pronta entrega;19.418,00;0,00;19.418,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - ICE;12/02/2026;24.200,00;0,00;24.200,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - MARSALA;Pronta entrega;6.013,00;0,00;6.013,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - MARINHO;Pronta entrega;62,00;0,00;62,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - MARINHO;12/02/2026;11.800,00;0,00;11.800,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - CASTOR;Pronta entrega;1.600,00;0,00;1.600,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - BRANCO;Pronta entrega;16.600,00;0,00;16.600,00
29;2026-01-21 13:42:35;000029MICRO SIDE - COR: - BRANCO;12/02/2026;21.200,00;0,00;21.200,00
