artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;Pronta entrega;5.343,60;2.484,20;2.859,40
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;09/02/2026;14.858,20;0,00;14.858,20
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;16/02/2026;15.327,70;4.700,00;10.627,70
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;20/03/2026;16.000,00;4.200,00;11.800,00
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;30/03/2026;18.777,30;0,00;18.777,30
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000077 - RED / 00000LISO/00000Padrao / 000077 - RED;Pronta entrega;116,40;0,00;116,40
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000077 - RED / 00000LISO/00000Padrao / 000077 - RED;20/03/2026;1.500,00;0,00;1.500,00
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;Pronta entrega;8.930,00;100,00;8.830,00
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;16/02/2026;2.056,10;0,00;2.056,10
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;20/03/2026;6.000,00;0,00;6.000,00
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;Pronta entrega;54.633,50;100,00;54.533,50
