artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;28.229,00;240,10;27.988,90
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;10.934,40;0,00;10.934,40
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;16/03/2026;10.000,00;0,00;10.000,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;7.460,00;120,00;7.340,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;16.707,70;0,00;16.707,70
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;22.046,90;820,00;21.226,90
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;12.778,90;0,00;12.778,90
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;10.884,30;0,00;10.884,30
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;7.762,90;3.240,00;4.522,90
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;8.205,60;0,00;8.205,60
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;411,40;411,00;0,40
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.944,60;359,60;1.585,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;4.177,40;0,00;4.177,40
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;1.522,20;1.522,20;0,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;5.395,60;5.383,00;12,60
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;20.686,30;12.159,30;8.527,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;16/03/2026;35.000,00;0,00;35.000,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;764,80;764,80;0,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;23.475,10;22.967,00;508,10
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;16/03/2026;35.000,00;22.900,00;12.100,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;405,00;398,00;7,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.288,30;120,00;1.168,30
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;2.080,70;0,00;2.080,70
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;733,30;320,00;413,30
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.397,60;0,00;1.397,60
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;1.598,50;0,00;1.598,50
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;1.815,60;380,00;1.435,60
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;5.138,90;0,00;5.138,90
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;2.732,80;0,00;2.732,80
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;0,00;0,00;0,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.833,80;620,00;1.213,80
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;787,30;120,00;667,30
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.343,90;0,00;1.343,90
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;1.169,10;0,00;1.169,10
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;3.942,20;320,00;3.622,20
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.920,80;0,00;1.920,80
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;2.738,10;0,00;2.738,10
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;1.179,40;120,00;1.059,40
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;14.347,40;320,00;14.027,40
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;0,00;0,00;0,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;5.122,30;1.624,60;3.497,70
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;20/02/2026;3.442,90;2.172,00;1.270,90
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;203,50;120,00;83,50
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.301,20;0,00;1.301,20
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;895,20;120,00;775,20
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.326,40;0,00;1.326,40
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;751,50;120,00;631,50
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;1.337,00;0,00;1.337,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;Pronta entrega;58.668,00;320,00;58.348,00
20;2026-01-21 13:04:42;000020 / VELUDO SILVER / 001;13/02/2026;19.577,20;0,00;19.577,20
