artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível;arquivo_origem
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;09/02/2026;14.858,20;0,00;14.858,20;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;09/02/2026;16.274,90;1.000,00;15.274,90;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001414 - DARK GREY / 00000LISO/00000Padrao / 0001414 - DARK GREY;09/02/2026;13.007,40;0,00;13.007,40;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001515 - ICE / 00000LISO/00000Padrao / 0001515 - ICE;09/02/2026;20.238,20;0,00;20.238,20;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0003434 - MARINHO / 00000LISO/00000Padrao / 0003434 - MARINHO;09/02/2026;3.076,20;2.195,20;881,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0004040 - CASTOR / 00000LISO/00000Padrao / 0004040 - CASTOR;09/02/2026;7.330,90;1.000,00;6.330,90;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;16/02/2026;15.327,70;4.700,00;10.627,70;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;16/02/2026;2.056,10;0,00;2.056,10;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001414 - DARK GREY / 00000LISO/00000Padrao / 0001414 - DARK GREY;16/02/2026;10.664,60;2.400,00;8.264,60;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001515 - ICE / 00000LISO/00000Padrao / 0001515 - ICE;16/02/2026;11.551,20;0,00;11.551,20;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0003434 - MARINHO / 00000LISO/00000Padrao / 0003434 - MARINHO;16/02/2026;5.678,20;524,60;5.153,60;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;16/02/2026;7.969,50;0,00;7.969,50;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;20/03/2026;16.000,00;4.200,00;11.800,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000077 - RED / 00000LISO/00000Padrao / 000077 - RED;20/03/2026;1.500,00;0,00;1.500,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;20/03/2026;6.000,00;0,00;6.000,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;20/03/2026;7.000,00;257,50;6.742,50;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001414 - DARK GREY / 00000LISO/00000Padrao / 0001414 - DARK GREY;20/03/2026;10.000,00;1.400,00;8.600,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0003434 - MARINHO / 00000LISO/00000Padrao / 0003434 - MARINHO;20/03/2026;7.000,00;0,00;7.000,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0004040 - CASTOR / 00000LISO/00000Padrao / 0004040 - CASTOR;20/03/2026;3.800,00;0,00;3.800,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001111 - BEIGE / 00000LISO/00000Padrao / 0001111 - BEIGE;20/03/2026;8.000,00;0,00;8.000,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;30/03/2026;18.777,30;0,00;18.777,30;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;30/03/2026;10.320,50;0,00;10.320,50;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001414 - DARK GREY / 00000LISO/00000Padrao / 0001414 - DARK GREY;30/03/2026;15.167,50;0,00;15.167,50;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001515 - ICE / 00000LISO/00000Padrao / 0001515 - ICE;30/03/2026;10.855,90;0,00;10.855,90;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0003434 - MARINHO / 00000LISO/00000Padrao / 0003434 - MARINHO;30/03/2026;2.975,50;0,00;2.975,50;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;30/03/2026;5.000,30;0,00;5.000,30;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0004040 - CASTOR / 00000LISO/00000Padrao / 0004040 - CASTOR;30/03/2026;3.982,80;0,00;3.982,80;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;Pronta entrega;5.343,60;2.484,20;2.859,40;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /000077 - RED / 00000LISO/00000Padrao / 000077 - RED;Pronta entrega;116,40;0,00;116,40;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;Pronta entrega;8.930,00;100,00;8.830,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;Pronta entrega;54.633,50;100,00;54.533,50;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001414 - DARK GREY / 00000LISO/00000Padrao / 0001414 - DARK GREY;Pronta entrega;30.625,00;2.400,00;28.225,00;produto_14_20260121_131747.csv
