artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível;arquivo_origem
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0001515 - ICE / 00000LISO/00000Padrao / 0001515 - ICE;Pronta entrega;91.979,90;3.006,80;88.973,10;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0003434 - MARINHO / 00000LISO/00000Padrao / 0003434 - MARINHO;Pronta entrega;0,00;1.000,00;-1000,00;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;Pronta entrega;15.784,50;100,00;15.684,50;produto_14_20260121_131747.csv
14;2026-01-21 13:17:41;000014VELUDO CONFORT / 001TINTO /0004040 - CASTOR / 00000LISO/00000Padrao / 0004040 - CASTOR;Pronta entrega;44.263,60;100,00;44.163,60;produto_14_20260121_131747.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;16/02/2026;8.877,40;3.000,00;5.877,40;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /000077 - RED / 00000LISO/00000Padrao / 000077 - RED;16/02/2026;1.704,10;700,00;1.004,10;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;16/02/2026;21.377,50;0,00;21.377,50;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;16/02/2026;13.758,00;5.500,00;8.258,00;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0001818 - BLUE / 00000LISO/00000Padrao / 0001818 - BLUE;16/02/2026;3.295,10;0,00;3.295,10;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0002121 - CHAMPAGNE / 00000LISO/00000Padrao / 0002121 - CHAMPAGNE;16/02/2026;16.234,90;16.000,00;234,90;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0002424 - TIMBER / 00000LISO/00000Padrao / 0002424 - TIMBER;16/02/2026;2.227,50;300,00;1.927,50;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;16/02/2026;2.254,30;920,00;1.334,30;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0003131 - KAKI / 00000LISO/00000Padrao / 0003131 - KAKI;16/02/2026;1.120,40;0,00;1.120,40;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0003232 - GRAFITE / 00000LISO/00000Padrao / 0003232 - GRAFITE;16/02/2026;22.238,50;22.025,80;212,70;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0003434 - MARINHO / 00000LISO/00000Padrao / 0003434 - MARINHO;16/02/2026;4.456,70;300,00;4.156,70;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;20/02/2026;10.631,40;0,00;10.631,40;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;Pronta entrega;56.129,30;2.902,00;53.227,30;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /000077 - RED / 00000LISO/00000Padrao / 000077 - RED;Pronta entrega;1.066,60;1.073,70;-7,10;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;Pronta entrega;30.785,80;13.430,00;17.355,80;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;Pronta entrega;10.632,60;4.260,00;6.372,60;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0001818 - BLUE / 00000LISO/00000Padrao / 0001818 - BLUE;Pronta entrega;1.028,20;180,00;848,20;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0002121 - CHAMPAGNE / 00000LISO/00000Padrao / 0002121 - CHAMPAGNE;Pronta entrega;34.228,79;23.230,00;10.998,79;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0002424 - TIMBER / 00000LISO/00000Padrao / 0002424 - TIMBER;Pronta entrega;5.656,90;120,00;5.536,90;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;Pronta entrega;3.567,40;3.550,00;17,40;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0003131 - KAKI / 00000LISO/00000Padrao / 0003131 - KAKI;Pronta entrega;1.981,70;1.470,00;511,70;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0003232 - GRAFITE / 00000LISO/00000Padrao / 0003232 - GRAFITE;Pronta entrega;43.062,10;23.170,90;19.891,20;produto_15_20260121_131758.csv
15;2026-01-21 13:17:58;000015VELUDINHO / 001TINTO /0003434 - MARINHO / 00000LISO/00000Padrao / 0003434 - MARINHO;Pronta entrega;21.109,50;1.370,00;19.739,50;produto_15_20260121_131758.csv
19;2026-01-21 13:18:09;000019VELUDO JAGUAR / 001TINTO /0001414 - DARK GREY / 00000LISO/00000Padrao / 0001414 - DARK GREY;Pronta entrega;4.190,30;0,00;4.190,30;produto_19_20260121_131809.csv
19;2026-01-21 13:18:09;000019VELUDO JAGUAR / 001TINTO /0001919 - ROSE / 00000LISO/00000Padrao / 0001919 - ROSE;Pronta entrega;1.331,90;0,00;1.331,90;produto_19_20260121_131809.csv
19;2026-01-21 13:18:09;000019VELUDO JAGUAR / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;Pronta entrega;1.262,30;0,00;1.262,30;produto_19_20260121_131809.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;13/02/2026;16.707,70;0,00;16.707,70;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000066 - DARK BROWN / 00000LISO/00000Padrao / 000066 - DARK BROWN;13/02/2026;12.778,90;0,00;12.778,90;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000099 - DARK BEIGE / 00000LISO/00000Padrao / 000099 - DARK BEIGE;13/02/2026;1.944,60;359,60;1.585,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001010 - LIGHT BROWN / 00000LISO/00000Padrao / 0001010 - LIGHT BROWN;13/02/2026;5.395,60;5.383,00;12,60;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001919 - ROSE / 00000LISO/00000Padrao / 0001919 - ROSE;13/02/2026;1.288,30;120,00;1.168,30;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0002020 - WINE / 00000LISO/00000Padrao / 0002020 - WINE;13/02/2026;1.397,60;0,00;1.397,60;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0002626 - BLUE NIGHT / 00000LISO/00000Padrao / 0002626 - BLUE NIGHT;13/02/2026;5.138,90;0,00;5.138,90;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;13/02/2026;1.833,80;620,00;1.213,80;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0003030 - COBRE / 00000LISO/00000Padrao / 0003030 - COBRE;13/02/2026;1.343,90;0,00;1.343,90;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;13/02/2026;1.920,80;0,00;1.920,80;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0004242 - SAHARA / 00000LISO/00000Padrao / 0004242 - SAHARA;13/02/2026;5.122,30;1.624,60;3.497,70;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0005050 - PURPURA / 00000LISO/00000Padrao / 0005050 - PURPURA;13/02/2026;1.301,20;0,00;1.301,20;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0005151 - AZUL HORIZONTE / 00000LISO/00000Padrao / 0005151 - AZUL HORIZONTE;13/02/2026;1.326,40;0,00;1.326,40;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0005252 - TIFFANY / 00000LISO/00000Padrao / 0005252 - TIFFANY;13/02/2026;1.337,00;0,00;1.337,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0005353 - CINZA NANQUIM / 00000LISO/00000Padrao / 0005353 - CINZA NANQUIM;13/02/2026;19.577,20;0,00;19.577,20;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000022 - CAPPUCINO / 00000LISO/00000Padrao / 000022 - CAPPUCINO;16/03/2026;10.000,00;0,00;10.000,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001010 - LIGHT BROWN / 00000LISO/00000Padrao / 0001010 - LIGHT BROWN;16/03/2026;35.000,00;0,00;35.000,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001111 - BEIGE / 00000LISO/00000Padrao / 0001111 - BEIGE;16/03/2026;35.000,00;22.900,00;12.100,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000022 - CAPPUCINO / 00000LISO/00000Padrao / 000022 - CAPPUCINO;20/02/2026;10.934,40;0,00;10.934,40;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000066 - DARK BROWN / 00000LISO/00000Padrao / 000066 - DARK BROWN;20/02/2026;10.884,30;0,00;10.884,30;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000088 - GREY / 00000LISO/00000Padrao / 000088 - GREY;20/02/2026;8.205,60;0,00;8.205,60;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000099 - DARK BEIGE / 00000LISO/00000Padrao / 000099 - DARK BEIGE;20/02/2026;4.177,40;0,00;4.177,40;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001010 - LIGHT BROWN / 00000LISO/00000Padrao / 0001010 - LIGHT BROWN;20/02/2026;20.686,30;12.159,30;8.527,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001111 - BEIGE / 00000LISO/00000Padrao / 0001111 - BEIGE;20/02/2026;23.475,10;22.967,00;508,10;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001919 - ROSE / 00000LISO/00000Padrao / 0001919 - ROSE;20/02/2026;2.080,70;0,00;2.080,70;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0002020 - WINE / 00000LISO/00000Padrao / 0002020 - WINE;20/02/2026;1.598,50;0,00;1.598,50;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0002626 - BLUE NIGHT / 00000LISO/00000Padrao / 0002626 - BLUE NIGHT;20/02/2026;2.732,80;0,00;2.732,80;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0003030 - COBRE / 00000LISO/00000Padrao / 0003030 - COBRE;20/02/2026;1.169,10;0,00;1.169,10;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;20/02/2026;2.738,10;0,00;2.738,10;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0004242 - SAHARA / 00000LISO/00000Padrao / 0004242 - SAHARA;20/02/2026;3.442,90;2.172,00;1.270,90;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000022 - CAPPUCINO / 00000LISO/00000Padrao / 000022 - CAPPUCINO;Pronta entrega;28.229,00;240,10;27.988,90;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;Pronta entrega;7.460,00;120,00;7.340,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000066 - DARK BROWN / 00000LISO/00000Padrao / 000066 - DARK BROWN;Pronta entrega;22.046,90;820,00;21.226,90;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000088 - GREY / 00000LISO/00000Padrao / 000088 - GREY;Pronta entrega;7.762,90;3.240,00;4.522,90;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000099 - DARK BEIGE / 00000LISO/00000Padrao / 000099 - DARK BEIGE;Pronta entrega;411,40;411,00;0,40;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001010 - LIGHT BROWN / 00000LISO/00000Padrao / 0001010 - LIGHT BROWN;Pronta entrega;1.522,20;1.522,20;0,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001111 - BEIGE / 00000LISO/00000Padrao / 0001111 - BEIGE;Pronta entrega;764,80;764,80;0,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001919 - ROSE / 00000LISO/00000Padrao / 0001919 - ROSE;Pronta entrega;405,00;398,00;7,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0002020 - WINE / 00000LISO/00000Padrao / 0002020 - WINE;Pronta entrega;733,30;320,00;413,30;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0002626 - BLUE NIGHT / 00000LISO/00000Padrao / 0002626 - BLUE NIGHT;Pronta entrega;1.815,60;380,00;1.435,60;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;Pronta entrega;0,00;0,00;0,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0003030 - COBRE / 00000LISO/00000Padrao / 0003030 - COBRE;Pronta entrega;787,30;120,00;667,30;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;Pronta entrega;3.942,20;320,00;3.622,20;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0003838 - MOSTARDA / 00000LISO/00000Padrao / 0003838 - MOSTARDA;Pronta entrega;1.179,40;120,00;1.059,40;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0004141 - MOKA / 00000LISO/00000Padrao / 0004141 - MOKA;Pronta entrega;14.347,40;320,00;14.027,40;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0004242 - SAHARA / 00000LISO/00000Padrao / 0004242 - SAHARA;Pronta entrega;0,00;0,00;0,00;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0005050 - PURPURA / 00000LISO/00000Padrao / 0005050 - PURPURA;Pronta entrega;203,50;120,00;83,50;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0005151 - AZUL HORIZONTE / 00000LISO/00000Padrao / 0005151 - AZUL HORIZONTE;Pronta entrega;895,20;120,00;775,20;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0005252 - TIFFANY / 00000LISO/00000Padrao / 0005252 - TIFFANY;Pronta entrega;751,50;120,00;631,50;produto_20_20260121_131821.csv
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0005353 - CINZA NANQUIM / 00000LISO/00000Padrao / 0005353 - CINZA NANQUIM;Pronta entrega;58.668,00;320,00;58.348,00;produto_20_20260121_131821.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;20/02/2026;2.195,80;1.670,00;525,80;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004141 - MOKA / 00000LISO/00000Padrao / 0004141 - MOKA;20/02/2026;4.715,40;0,00;4.715,40;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004949 - STEEL GREY / 00000LISO/00000Padrao / 0004949 - STEEL GREY;20/02/2026;16.455,30;120,00;16.335,30;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005555 - VERDE OLIVA / 00000LISO/00000Padrao / 0005555 - VERDE OLIVA;20/02/2026;3.006,20;1.220,00;1.786,20;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005656 - NATURAL / 00000LISO/00000Padrao / 0005656 - NATURAL;20/02/2026;12.320,20;12.300,00;20,20;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005858 - PRATA / 00000LISO/00000Padrao / 0005858 - PRATA;20/02/2026;8.924,00;420,00;8.504,00;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0001616 - CARAMELO / 00000LISO/00000Padrao / 0001616 - CARAMELO;Pronta entrega;9.101,60;220,00;8.881,60;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;Pronta entrega;0,00;0,00;0,00;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004040 - CASTOR / 00000LISO/00000Padrao / 0004040 - CASTOR;Pronta entrega;40.738,60;3.270,00;37.468,60;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004141 - MOKA / 00000LISO/00000Padrao / 0004141 - MOKA;Pronta entrega;2.381,40;220,00;2.161,40;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0004949 - STEEL GREY / 00000LISO/00000Padrao / 0004949 - STEEL GREY;Pronta entrega;1.252,60;500,00;752,60;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005555 - VERDE OLIVA / 00000LISO/00000Padrao / 0005555 - VERDE OLIVA;Pronta entrega;0,00;0,00;0,00;produto_23_20260121_131832.csv
23;2026-01-21 13:18:32;000023VELUDO BOUCLE NICE / 001TINTO /0005656 - NATURAL / 00000LISO/00000Padrao / 0005656 - NATURAL;Pronta entrega;0,00;0,00;0,00;produto_23_20260121_131832.csv
