Produto / Cor;Previsão;Estoque;Pedidos;Disponível
000020 - VELUDO SILVER - COR: 10 - LIGHT BROWN;Pronta entrega;1.522,20;1.522,20;0,00
000020 - VELUDO SILVER - COR: 10 - LIGHT BROWN;13/02/2026;5.395,60;5.383,00;12,60
000020 - VELUDO SILVER - COR: 10 - LIGHT BROWN;20/02/2026;20.686,30;12.159,30;8.527,00
000020 - VELUDO SILVER - COR: 10 - LIGHT BROWN;16/03/2026;35.000,00;0,00;35.000,00
000020 - VELUDO SILVER - COR: 11 - BEIGE;Pronta entrega;764,80;764,80;0,00
000020 - VELUDO SILVER - COR: 11 - BEIGE;20/02/2026;23.475,10;22.967,00;508,10
000020 - VELUDO SILVER - COR: 11 - BEIGE;16/03/2026;35.000,00;22.900,00;12.100,00
000020 - VELUDO SILVER - COR: 19 - ROSE;Pronta entrega;405,00;398,00;7,00
000020 - VELUDO SILVER - COR: 19 - ROSE;13/02/2026;1.288,30;120,00;1.168,30
000020 - VELUDO SILVER - COR: 19 - ROSE;20/02/2026;2.080,70;0,00;2.080,70
000020 - VELUDO SILVER - COR: 2 - CAPPUCINO;Pronta entrega;28.229,00;240,10;27.988,90
000020 - VELUDO SILVER - COR: 2 - CAPPUCINO;20/02/2026;10.934,40;0,00;10.934,40
000020 - VELUDO SILVER - COR: 2 - CAPPUCINO;16/03/2026;10.000,00;0,00;10.000,00
000020 - VELUDO SILVER - COR: 20 - WINE;Pronta entrega;733,30;320,00;413,30
000020 - VELUDO SILVER - COR: 20 - WINE;13/02/2026;1.397,60;0,00;1.397,60
000020 - VELUDO SILVER - COR: 20 - WINE;20/02/2026;1.598,50;0,00;1.598,50
000020 - VELUDO SILVER - COR: 26 - BLUE NIGHT;Pronta entrega;1.815,60;380,00;1.435,60
000020 - VELUDO SILVER - COR: 26 - BLUE NIGHT;13/02/2026;5.138,90;0,00;5.138,90
000020 - VELUDO SILVER - COR: 26 - BLUE NIGHT;20/02/2026;2.732,80;0,00;2.732,80
000020 - VELUDO SILVER - COR: 29 - TERRA COTA;Pronta entrega;0,00;0,00;0,00
000020 - VELUDO SILVER - COR: 29 - TERRA COTA;13/02/2026;1.833,80;620,00;1.213,80
000020 - VELUDO SILVER - COR: 30 - COBRE;Pronta entrega;787,30;120,00;667,30
000020 - VELUDO SILVER - COR: 30 - COBRE;13/02/2026;1.343,90;0,00;1.343,90
000020 - VELUDO SILVER - COR: 30 - COBRE;20/02/2026;1.169,10;0,00;1.169,10
000020 - VELUDO SILVER - COR: 37 - GRANITO;Pronta entrega;3.942,20;560,00;3.382,20
000020 - VELUDO SILVER - COR: 37 - GRANITO;13/02/2026;1.920,80;0,00;1.920,80
000020 - VELUDO SILVER - COR: 37 - GRANITO;20/02/2026;2.738,10;0,00;2.738,10
000020 - VELUDO SILVER - COR: 38 - MOSTARDA;Pronta entrega;1.179,40;120,00;1.059,40
000020 - VELUDO SILVER - COR: 41 - MOKA;Pronta entrega;14.347,40;320,00;14.027,40
000020 - VELUDO SILVER - COR: 42 - SAHARA;Pronta entrega;0,00;0,00;0,00
000020 - VELUDO SILVER - COR: 42 - SAHARA;13/02/2026;5.122,30;1.624,60;3.497,70
000020 - VELUDO SILVER - COR: 42 - SAHARA;20/02/2026;3.442,90;2.172,00;1.270,90
000020 - VELUDO SILVER - COR: 5 - BLACK;Pronta entrega;7.460,00;120,00;7.340,00
000020 - VELUDO SILVER - COR: 5 - BLACK;13/02/2026;16.707,70;0,00;16.707,70
000020 - VELUDO SILVER - COR: 50 - PURPURA;Pronta entrega;203,50;120,00;83,50
000020 - VELUDO SILVER - COR: 50 - PURPURA;13/02/2026;1.301,20;0,00;1.301,20
000020 - VELUDO SILVER - COR: 51 - AZUL HORIZONTE;Pronta entrega;895,20;120,00;775,20
000020 - VELUDO SILVER - COR: 51 - AZUL HORIZONTE;13/02/2026;1.326,40;0,00;1.326,40
000020 - VELUDO SILVER - COR: 52 - TIFFANY;Pronta entrega;751,50;120,00;631,50
000020 - VELUDO SILVER - COR: 52 - TIFFANY;13/02/2026;1.337,00;0,00;1.337,00
000020 - VELUDO SILVER - COR: 53 - CINZA NANQUIM;Pronta entrega;58.668,00;320,00;58.348,00
000020 - VELUDO SILVER - COR: 53 - CINZA NANQUIM;13/02/2026;19.577,20;0,00;19.577,20
000020 - VELUDO SILVER - COR: 6 - DARK BROWN;Pronta entrega;22.046,90;820,00;21.226,90
000020 - VELUDO SILVER - COR: 6 - DARK BROWN;13/02/2026;12.778,90;0,00;12.778,90
000020 - VELUDO SILVER - COR: 6 - DARK BROWN;20/02/2026;10.884,30;0,00;10.884,30
000020 - VELUDO SILVER - COR: 8 - GREY;Pronta entrega;7.762,90;3.240,00;4.522,90
000020 - VELUDO SILVER - COR: 8 - GREY;20/02/2026;8.205,60;0,00;8.205,60
000020 - VELUDO SILVER - COR: 9 - DARK BEIGE;Pronta entrega;411,40;411,00;0,40
000020 - VELUDO SILVER - COR: 9 - DARK BEIGE;13/02/2026;1.944,60;359,60;1.585,00
000020 - VELUDO SILVER - COR: 9 - DARK BEIGE;20/02/2026;4.177,40;0,00;4.177,40
