artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;Pronta entrega;1.833,40;181,20;1.652,20,16
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/01/2026;10.624,50;735,80;9.888,70,19
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;19/01/2026;3.831,40;400,00;3.431,40,16
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/01/2026;10.624,50;735,80;9.888,70,19
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/01/2026;10.624,50;735,80;9.888,70,19
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/01/2026;10.624,50;735,80;9.888,70,19
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;19/01/2026;3.831,40;400,00;3.431,40,16
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/01/2026;10.624,50;735,80;9.888,70,19
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/01/2026;10.624,50;735,80;9.888,70,19
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;19/01/2026;3.831,40;400,00;3.431,40,16
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;19/01/2026;3.831,40;400,00;3.431,40,16
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;19/01/2026;3.831,40;400,00;3.431,40,16
000015;2026-01-15 11:12:01;000015 VELUDINHO 001 TINTO / 00007 7 - RED 00000 LISO / 00000 Padrao;16/02/2026;1.704,10;0,00;1.704,10
