artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
000029;2026-01-15 11:13:03;000029 MICRO SIDE 001 TINTO / 00005 5 - BLACK 00000 LISO / 00000 Padrao;Pronta entrega;2.999,00;0,00;2.999,00
000029;2026-01-15 11:13:03;000029 MICRO SIDE 001 TINTO / 00005 5 - BLACK 00000 LISO / 00000 Padrao;12/02/2026;49.400,00;0,00,49.400,00;000029
000029;2026-01-15 11:13:03;000029 MICRO SIDE 001 TINTO / 00005 5 - BLACK 00000 LISO / 00000 Padrao;12/02/2026;49.400,00;0,00,49.400,00;000029
000029;2026-01-15 11:13:03;000029 MICRO SIDE 001 TINTO / 00005 5 - BLACK 00000 LISO / 00000 Padrao;12/02/2026;49.400,00;0,00,49.400,00;000029
000029;2026-01-15 11:13:03;000029 MICRO SIDE 001 TINTO / 00005 5 - BLACK 00000 LISO / 00000 Padrao;12/02/2026;49.400,00;0,00,49.400,00;000029
000029;2026-01-15 11:13:03;000029 MICRO SIDE 001 TINTO / 00005 5 - BLACK 00000 LISO / 00000 Padrao;12/02/2026;49.400,00;0,00,49.400,00;000029
000029;2026-01-15 11:13:03;000029 MICRO SIDE 001 TINTO / 00005 5 - BLACK 00000 LISO / 00000 Padrao;12/02/2026;49.400,00;0,00,49.400,00;000029
