artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
000023;2026-01-15 11:12:28;000023 VELUDO BOUCLE NICE 001 TINTO / 00061 61 - PALHA 00000 LISO / 00000 Padrao;Pronta entrega;12.774,00;710,00,12.064,00;000023
000023;2026-01-15 11:12:28;000023 VELUDO BOUCLE NICE 001 TINTO / 00061 61 - PALHA 00000 LISO / 00000 Padrao;23/01/2026;1.511,90;250,00;1.261,90,20
000023;2026-01-15 11:12:28;000023 VELUDO BOUCLE NICE 001 TINTO / 00061 61 - PALHA 00000 LISO / 00000 Padrao;20/02/2026;16.455,30;0,00,16.455,30;000023
000023;2026-01-15 11:12:28;000023 VELUDO BOUCLE NICE 001 TINTO / 00061 61 - PALHA 00000 LISO / 00000 Padrao;20/02/2026;16.455,30;0,00,16.455,30;000023
000023;2026-01-15 11:12:28;000023 VELUDO BOUCLE NICE 001 TINTO / 00061 61 - PALHA 00000 LISO / 00000 Padrao;20/02/2026;16.455,30;0,00,16.455,30;000023
000023;2026-01-15 11:12:28;000023 VELUDO BOUCLE NICE 001 TINTO / 00061 61 - PALHA 00000 LISO / 00000 Padrao;20/02/2026;16.455,30;0,00,16.455,30;000023
000023;2026-01-15 11:12:28;000023 VELUDO BOUCLE NICE 001 TINTO / 00061 61 - PALHA 00000 LISO / 00000 Padrao;20/02/2026;16.455,30;0,00,16.455,30;000023
000023;2026-01-15 11:12:28;000023 VELUDO BOUCLE NICE 001 TINTO / 00061 61 - PALHA 00000 LISO / 00000 Padrao;20/02/2026;16.455,30;0,00,16.455,30;000023
