artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;Pronta entrega;8.283,10;1.040,00;7.243,10,13
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;20/02/2026;10.934,40;0,00,10.934,40;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
000020;2026-01-15 11:12:19;000020 VELUDO SILVER 001 TINTO / 00002 2 - CAPPUCINO 00000 LISO / 00000 Padrao;13/02/2026;16.707,70;0,00,16.707,70;000020
