artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0001515 - ICE / 00000LISO/00000Padrao / 0001515 - ICE;Pronta entrega;11.622,50;620,00;11.002,50
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0001515 - ICE / 00000LISO/00000Padrao / 0001515 - ICE;23/03/2026;3.800,00;0,00;3.800,00
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0002828- TABACO / 00000LISO/00000Padrao / 0002828- TABACO;Pronta entrega;1.119,30;220,00;899,30
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0002828- TABACO / 00000LISO/00000Padrao / 0002828- TABACO;23/03/2026;2.000,00;0,00;2.000,00
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0003232 - GRAFITE / 00000LISO/00000Padrao / 0003232 - GRAFITE;Pronta entrega;63.840,20;870,00;62.970,20
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0003232 - GRAFITE / 00000LISO/00000Padrao / 0003232 - GRAFITE;23/03/2026;25.000,00;0,00;25.000,00
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0003434 - MARINHO / 00000LISO/00000Padrao / 0003434 - MARINHO;Pronta entrega;10.449,10;120,00;10.329,10
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0004040 - CASTOR / 00000LISO/00000Padrao / 0004040 - CASTOR;Pronta entrega;7.518,10;120,00;7.398,10
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0004040 - CASTOR / 00000LISO/00000Padrao / 0004040 - CASTOR;23/03/2026;2.300,00;0,00;2.300,00
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0005656 - NATURAL / 00000LISO/00000Padrao / 0005656 - NATURAL;Pronta entrega;63.164,60;528,90;62.635,70
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0005656 - NATURAL / 00000LISO/00000Padrao / 0005656 - NATURAL;23/03/2026;30.000,00;0,00;30.000,00
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0005959 - CHUMBO / 00000LISO/00000Padrao / 0005959 - CHUMBO;Pronta entrega;6.337,50;920,00;5.417,50
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0005959 - CHUMBO / 00000LISO/00000Padrao / 0005959 - CHUMBO;23/03/2026;6.000,00;0,00;6.000,00
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0006363 - BEGE / 00000LISO/00000Padrao / 0006363 - BEGE;Pronta entrega;13.325,30;570,00;12.755,30
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0006666 - CRU / 00000LISO/00000Padrao / 0006666 - CRU;Pronta entrega;8.481,70;320,00;8.161,70
28;2026-01-21 13:19:06;000028BELGA / 001TINTO /0006666 - CRU / 00000LISO/00000Padrao / 0006666 - CRU;23/03/2026;1.900,00;0,00;1.900,00
