artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /000022 - CAPPUCINO / 00000LISO/00000Padrao / 000022 - CAPPUCINO;Pronta entrega;20.701,30;1.880,00;18.821,30
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /000022 - CAPPUCINO / 00000LISO/00000Padrao / 000022 - CAPPUCINO;23/02/2026;11.689,80;0,00;11.689,80
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;Pronta entrega;2.647,00;180,00;2.467,00
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;23/02/2026;5.109,30;0,00;5.109,30
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /000066 - DARK BROWN / 00000LISO/00000Padrao / 000066 - DARK BROWN;Pronta entrega;14.210,80;1.830,00;12.380,80
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /000066 - DARK BROWN / 00000LISO/00000Padrao / 000066 - DARK BROWN;23/02/2026;9.905,40;0,00;9.905,40
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0001111 - BEIGE / 00000LISO/00000Padrao / 0001111 - BEIGE;Pronta entrega;26.785,60;330,00;26.455,60
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0001111 - BEIGE / 00000LISO/00000Padrao / 0001111 - BEIGE;23/02/2026;12.322,70;0,00;12.322,70
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;Pronta entrega;19.634,10;380,00;19.254,10
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0001212 - IVORY / 00000LISO/00000Padrao / 0001212 - IVORY;23/02/2026;7.330,90;0,00;7.330,90
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;Pronta entrega;24.180,30;360,00;23.820,30
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0001313 - CHOCOLATE / 00000LISO/00000Padrao / 0001313 - CHOCOLATE;23/02/2026;12.422,30;0,00;12.422,30
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0002020 - WINE / 00000LISO/00000Padrao / 0002020 - WINE;Pronta entrega;2.892,00;180,00;2.712,00
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0002020 - WINE / 00000LISO/00000Padrao / 0002020 - WINE;23/02/2026;1.462,30;0,00;1.462,30
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0002626 - BLUE NIGHT / 00000LISO/00000Padrao / 0002626 - BLUE NIGHT;Pronta entrega;7.484,00;230,00;7.254,00
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0002626 - BLUE NIGHT / 00000LISO/00000Padrao / 0002626 - BLUE NIGHT;23/02/2026;1.520,00;0,00;1.520,00
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;Pronta entrega;4.356,80;180,00;4.176,80
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0002929 - TERRA COTA / 00000LISO/00000Padrao / 0002929 - TERRA COTA;23/02/2026;1.306,00;0,00;1.306,00
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;Pronta entrega;5.088,20;980,00;4.108,20
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;23/02/2026;1.480,80;0,00;1.480,80
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0005353 - CINZA NANQUIM / 00000LISO/00000Padrao / 0005353 - CINZA NANQUIM;Pronta entrega;27.992,80;180,00;27.812,80
30;2026-01-21 13:19:29;000030VELUDO DIAMOND / 001TINTO /0005353 - CINZA NANQUIM / 00000LISO/00000Padrao / 0005353 - CINZA NANQUIM;23/02/2026;17.592,40;0,00;17.592,40
