artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
19;2026-01-21 13:18:09;000019VELUDO JAGUAR / 001TINTO /0001414 - DARK GREY / 00000LISO/00000Padrao / 0001414 - DARK GREY;Pronta entrega;4.190,30;0,00;4.190,30
19;2026-01-21 13:18:09;000019VELUDO JAGUAR / 001TINTO /0001919 - ROSE / 00000LISO/00000Padrao / 0001919 - ROSE;Pronta entrega;1.331,90;0,00;1.331,90
19;2026-01-21 13:18:09;000019VELUDO JAGUAR / 001TINTO /0003737 - GRANITO / 00000LISO/00000Padrao / 0003737 - GRANITO;Pronta entrega;1.262,30;0,00;1.262,30
