artigo;datahora;Produto / Situação / Cor / Desenho / Variante;Previsão;Estoque;Pedidos;Disponível
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000022 - CAPPUCINO / 00000LISO/00000Padrao / 000022 - CAPPUCINO;Pronta entrega;28.229,00;240,10;27.988,90
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000022 - CAPPUCINO / 00000LISO/00000Padrao / 000022 - CAPPUCINO;20/02/2026;10.934,40;0,00;10.934,40
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000022 - CAPPUCINO / 00000LISO/00000Padrao / 000022 - CAPPUCINO;16/03/2026;10.000,00;0,00;10.000,00
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;Pronta entrega;7.460,00;120,00;7.340,00
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000055 - BLACK / 00000LISO/00000Padrao / 000055 - BLACK;13/02/2026;16.707,70;0,00;16.707,70
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000066 - DARK BROWN / 00000LISO/00000Padrao / 000066 - DARK BROWN;Pronta entrega;22.046,90;820,00;21.226,90
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000066 - DARK BROWN / 00000LISO/00000Padrao / 000066 - DARK BROWN;13/02/2026;12.778,90;0,00;12.778,90
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000066 - DARK BROWN / 00000LISO/00000Padrao / 000066 - DARK BROWN;20/02/2026;10.884,30;0,00;10.884,30
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000088 - GREY / 00000LISO/00000Padrao / 000088 - GREY;Pronta entrega;7.762,90;3.240,00;4.522,90
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000088 - GREY / 00000LISO/00000Padrao / 000088 - GREY;20/02/2026;8.205,60;0,00;8.205,60
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000099 - DARK BEIGE / 00000LISO/00000Padrao / 000099 - DARK BEIGE;Pronta entrega;411,40;411,00;0,40
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000099 - DARK BEIGE / 00000LISO/00000Padrao / 000099 - DARK BEIGE;13/02/2026;1.944,60;359,60;1.585,00
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /000099 - DARK BEIGE / 00000LISO/00000Padrao / 000099 - DARK BEIGE;20/02/2026;4.177,40;0,00;4.177,40
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001010 - LIGHT BROWN / 00000LISO/00000Padrao / 0001010 - LIGHT BROWN;Pronta entrega;1.522,20;1.522,20;0,00
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001010 - LIGHT BROWN / 00000LISO/00000Padrao / 0001010 - LIGHT BROWN;13/02/2026;5.395,60;5.383,00;12,60
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001010 - LIGHT BROWN / 00000LISO/00000Padrao / 0001010 - LIGHT BROWN;20/02/2026;20.686,30;12.159,30;8.527,00
20;2026-01-21 13:18:21;000020VELUDO SILVER / 001TINTO /0001010 - LIGHT BROWN / 00000LISO/00000Padrao / 0001010 - LIGHT BROWN;16/03/2026;35.000,00;0,00;35.000,00
